Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2018,Brevard,FL,Passenger,0,1,1,109,110,0.91
March 31 2021,Pinellas,FL,Passenger,1,1,2,113,115,1.74
August 31 2020,Shasta,CA,Passenger,1,0,1,36,37,2.7
June 30 2020,Bucks,PA,Passenger,1,0,1,24,25,4
February 28 2023,Snohomish,WA,Passenger,10907,2828,13735,528837,542572,2.53
June 30 2018,,,Passenger,2,2,4,424,428,0.93
September 30 2021,Rockingham,NH,Passenger,1,0,1,26,27,3.7
July 31 2020,Hawaii,HI,Passenger,1,0,1,61,62,1.61
May 31 2019,Lake,FL,Passenger,1,0,1,22,23,4.35
September 30 2023,Columbia,OR,Passenger,1,0,1,13,14,7.14
September 30 2018,Beaufort,SC,Passenger,1,0,1,41,42,2.38
November 30 2020,Montgomery,OH,Passenger,0,1,1,54,55,1.82
February 28 2021,Whitman,WA,Passenger,53,46,99,21818,21917,0.45
November 30 2021,San Diego,CA,Passenger,20,5,25,2605,2630,0.95
January 31 2021,Walla Walla,WA,Truck,0,0,0,13885,13885,0
September 30 2021,Washington,MD,Passenger,2,0,2,11,13,15.38
October 31 2019,Harrison,MS,Passenger,1,0,1,62,63,1.59
December 31 2021,Burlington,NJ,Passenger,0,1,1,112,113,0.88
February 28 2023,Columbia,OR,Passenger,1,0,1,15,16,6.25
February 28 2019,Lee,FL,Passenger,1,0,1,52,53,1.89
March 31 2020,Pierce,WA,Passenger,2309,1685,3994,550650,554644,0.72
March 31 2021,Duval,FL,Passenger,0,2,2,364,366,0.55
July 31 2020,Walla Walla,WA,Truck,0,0,0,13747,13747,0
August 31 2018,Volusia,FL,Passenger,0,1,1,37,38,2.63
March 31 2022,Spartanburg,SC,Passenger,0,1,1,44,45,2.22
December 31 2017,Morris,NJ,Passenger,1,0,1,20,21,4.76
June 30 2019,Twin Falls,ID,Passenger,0,1,1,25,26,3.85
November 30 2023,Clallam,WA,Passenger,653,307,960,48953,49913,1.92
November 30 2017,Walla Walla,WA,Passenger,29,31,60,35220,35280,0.17
March 31 2020,Washington,OR,Passenger,1,0,1,487,488,0.2
May 31 2018,Ferry,WA,Truck,0,0,0,3501,3501,0
November 30 2021,Jefferson,NY,Passenger,1,0,1,208,209,0.48
April 30 2018,Lee,AL,Passenger,1,0,1,32,33,3.03
August 31 2024,Hardin,KY,Truck,1,0,1,17,18,5.56
March 31 2020,Wahkiakum,WA,Passenger,6,5,11,3006,3017,0.36
April 30 2024,Alexandria,VA,Passenger,3,0,3,88,91,3.3
November 30 2019,Santa Cruz,CA,Passenger,1,0,1,38,39,2.56
October 31 2018,Pinal,AZ,Passenger,2,0,2,218,220,0.91
May 31 2024,Salt Lake,UT,Passenger,5,1,6,106,112,5.36
December 31 2022,Williamson,TX,Passenger,0,2,2,93,95,2.11
July 31 2024,Cumberland,NC,Passenger,3,2,5,304,309,1.62
September 30 2021,Franklin,WA,Truck,0,0,0,20702,20702,0
February 29 2024,Philadelphia,PA,Passenger,0,1,1,39,40,2.5
June 30 2018,Juneau,AK,Passenger,0,1,1,50,51,1.96
September 30 2017,Essex,MA,Passenger,1,0,1,25,26,3.85
July 31 2021,Richmond,NY,Passenger,1,0,1,7,8,12.5
April 30 2020,Carson City,NV,Passenger,1,0,1,11,12,8.33
January 31 2025,Leavenworth,KS,Passenger,4,2,6,65,71,8.45
